name, latitude, longitude, altitude, timezone
Abidjan Felix Houphouet Boigny Intl,5.261386,-3.926294,21,0
Bouake,7.7388,-5.073667,1230,0
Daloa,6.792808,-6.473189,823,0
Korhogo,9.387183,-5.556664,1214,0
Man,7.272069,-7.587364,1089,0
San Pedro,4.746717,-6.660817,26,0
Yamoussoukro,6.903167,-5.365581,699,0
Nnamdi Azikiwe Intl,9.006792,7.263172,1123,1
Akure,7.246739,5.301008,1100,1
Benin,6.316981,5.599503,258,1
Calabar,4.976019,8.347197,210,1
Enugu,6.474272,7.561961,466,1
Gusau,12.171667,6.696111,1520,1
Ibadan,7.362458,3.978333,725,1
Ilorin,8.440211,4.493919,1126,1
Yakubu Gowon,9.639828,8.86905,4232,1
Kaduna,10.696025,7.320114,2073,1
Mallam Aminu Intl,12.047589,8.524622,1562,1
Maiduguri,11.855347,13.08095,1099,1
Makurdi,7.703883,8.613939,371,1
Murtala Muhammed,6.577369,3.321156,135,1
Minna New,9.652172,6.462256,834,1
Port Harcourt Intl,5.015494,6.949594,87,1
Sadiq Abubakar Iii Intl,12.916322,5.207189,1010,1
Yola,9.257553,12.430422,599,1
Zaria,11.130192,7.685806,2170,1
Maradi,13.502531,7.126753,1240,1
Diori Hamani,13.481547,2.183614,732,1
Tahoua,14.875658,5.265358,1266,1
Manu Dayak,16.965997,8.000114,1657,1
Dirkou,18.968703,12.86865,1273,1
Diffa,13.372894,12.626686,994,1
Zinder,13.778997,8.983761,1516,1
Habib Bourguiba Intl,35.758056,10.754722,9,1
Carthage,36.851033,10.227217,22,1
Sidi Ahmed Air Base,37.245447,9.791453,20,1
Remada,32.306156,10.382108,1004,1
Gafsa,34.422022,8.822503,1060,1
Gabes,33.876919,10.103333,26,1
Borj El Amri,36.721339,9.943147,108,1
Zarzis,33.875031,10.775461,19,1
El Borma,31.704281,9.254619,827,1
Thyna,34.717953,10.690972,85,1
Nefta,33.939722,8.110556,287,1
Niamtougou International,9.767333,1.09125,1515,1
Gnassingbe Eyadema Intl,6.165611,1.254511,72,1
Deurne,51.189444,4.460278,39,1
Beauvechain,50.75861,4.768333,370,1
Kleine Brogel,51.168333,5.47,200,1
Brussels Natl,50.901389,4.484444,184,1
Bertrix,49.891667,5.223889,1514,1
Brussels South,50.459197,4.453817,614,1
Chievres Ab,50.575833,3.831,193,1
Koksijde,51.090278,2.652778,20,1
Florennes,50.243333,4.645833,935,1
Wevelgem,50.817222,3.204722,64,1
Liege,50.637417,5.443222,659,1
Oostende,51.198889,2.862222,13,1
Zutendaal,50.9475,5.590556,312,1
Sint Truiden,50.791944,5.201667,246,1
Saint Hubert Mil,50.035833,5.404167,1930,1
Ursel,51.144133,3.474361,95,1
Weelde,51.394783,4.960194,105,1
Zoersel,51.264722,4.753333,53,1
Bautzen,51.193531,14.519747,568,1
Altenburg Nobitz,50.981817,12.506361,640,1
Dessau,51.831828,12.184033,187,1
Eisenhuttenstadt,52.197333,14.585667,149,1
Putnam County Airport,39.6335556,-86.8138056,842,-5
Grossenhain,51.308111,13.554973,417,1
Merseburg,51.363,11.940833,340,1
Halle Oppin,51.552,12.052667,347,1
Riesa Gohlis,51.2935,13.356,322,1
Rechlin Larz,53.306417,12.753139,220,1
Strausberg,52.579978,13.915683,263,1
Schonhagen,52.203258,13.158408,131,1
Barth,54.33754,12.699705,23,1
Jena Schongleina,50.915161,11.714519,1228,1
Kyritz,52.918833,12.425333,130,1
Magdeburg,52.073658,11.626467,268,1
Rothenburg Gorlitz,51.363167,14.95,517,1
Anklam,53.8327,13.669131,18,1
