Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,PEK,HAN,Vietnam Airlines (VN),Vietnam Airlines,1448,03:23,,,,,321,,,Direct,3364,3199,5309
- -,PEK,HEL,Finnair (AY),Finnair,3917,08:20,,,,,340 333,,,Direct,3364,421,2350
- -,PEK,HEL,Air China (CA),Air China,3917,08:20,,,,,340 333,,,Codeshare,3364,421,751
- -,PEK,HET,Air China (CA),Air China,255,01:00,,,,,733 738 321 737,,,Direct,3364,6345,751
- -,PEK,HET,Hainan Airlines (HU),Hainan Airlines,255,01:00,,,,,738,,,Direct,3364,6345,2660
- -,PEK,HET,Japan Air System (JD),Japan Air System,255,01:00,,,,,320 319,,,Direct,3364,6345,6557
- -,PEK,HET,Shenzhen Airlines (ZH),Shenzhen Airlines,255,01:00,,,,,737 320,,,Codeshare,3364,6345,4611
- -,PEK,HFE,Air China (CA),Air China,574,01:38,,,,,738 733,,,Direct,3364,3389,751
- -,PEK,HFE,Hainan Airlines (HU),Hainan Airlines,574,01:38,,,,,738,,,Direct,3364,3389,2660
- -,PEK,HFE,China Eastern Airlines (MU),China Eastern Airlines,574,01:38,,,,,320,,,Direct,3364,3389,1758
- -,PEK,HGH,Air China (CA),Air China,713,01:55,,,,,738 319 320 737 321 733,,,Direct,3364,3386,751
- -,PEK,HGH,China Southern Airlines (CZ),China Southern Airlines,713,01:55,,,,,321,,,Direct,3364,3386,1767
- -,PEK,HGH,Shanghai Airlines (FM),Shanghai Airlines,713,01:55,,,,,738 757,,,Direct,3364,3386,4609
- -,PEK,HGH,Hainan Airlines (HU),Hainan Airlines,713,01:55,,,,,738 330,,,Direct,3364,3386,2660
- -,PEK,HGH,China Eastern Airlines (MU),China Eastern Airlines,713,01:55,,,,,321 320,,,Direct,3364,3386,1758
- -,PEK,HGH,Shenzhen Airlines (ZH),Shenzhen Airlines,713,01:55,,,,,737 319 320,,,Codeshare,3364,3386,4611
- -,PEK,HIA,China Eastern Airlines (MU),China Eastern Airlines,457,01:24,,,,,737,,,Direct,3364,7898,1758
- -,PEK,HKG,Air China (CA),Air China,1237,02:58,,,,,321 330 772,,,Direct,3364,3077,751
- -,PEK,HKG,Cathay Pacific (CX),Cathay Pacific,1237,02:58,,,,,330 777 343,,,Direct,3364,3077,1680
- -,PEK,HKG,China Southern Airlines (CZ),China Southern Airlines,1237,02:58,,,,,321,,,Direct,3364,3077,1767
- -,PEK,HKG,Hankook Air (HX),Hankook Air,1237,02:58,,,,,332,,,Direct,3364,3077,16706
- -,PEK,HKG,Dragonair (KA),Dragonair,1237,02:58,,,,,330 320 321,,,Direct,3364,3077,2056
- -,PEK,HKG,Hong Kong Express Airways (UO),Hong Kong Express Airways,1237,02:58,,,,,332,,,Direct,3364,3077,2774
- -,PEK,HKT,Air China (CA),Air China,2478,05:27,,,,,757,,,Direct,3364,3179,751
- -,PEK,HKT,Hainan Airlines (HU),Hainan Airlines,2478,05:27,,,,,738,,,Direct,3364,3179,2660
- -,PEK,HLD,Air China (CA),Air China,649,01:47,,,,,738 733,,,Direct,3364,3366,751
- -,PEK,HLD,Air Foyle (GS),Air Foyle,649,01:47,,,,,E90,,,Direct,3364,3366,690
- -,PEK,HLD,Hainan Airlines (HU),Hainan Airlines,649,01:47,,,,,738,,,Direct,3364,3366,2660
- -,PEK,HLH,Air China (CA),Air China,496,01:29,,,,,733,,,Direct,3364,6349,751
- -,PEK,HND,Air China (CA),Air China,1299,03:05,,,,,321,,,Direct,3364,2359,751
- -,PEK,HND,Japan Airlines (JL),Japan Airlines,1299,03:05,,,,,767,,,Direct,3364,2359,2987
- -,PEK,HND,China Eastern Airlines (MU),China Eastern Airlines,1299,03:05,,,,,767,,,Codeshare,3364,2359,1758
- -,PEK,HND,All Nippon Airways (NH),All Nippon Airways,1299,03:05,,,,,777 788,,,Direct,3364,2359,324
