name,Distance,From_OID,To_OID,Airline_OID
Air China (CA),759,3364,3387,751
China Southern Airlines (CZ),759,3364,3387,1767
Hainan Airlines (HU),759,3364,3387,2660
China Eastern Airlines (MU),759,3364,3387,1758
Shenzhen Airlines (ZH),759,3364,3387,4611
Air China (CA),1162,3364,3942,751
Etihad Airways (EY),1162,3364,3942,2222
All Nippon Airways (NH),1162,3364,3942,324
Air China (CA),589,3364,3388,751
China Southern Airlines (CZ),589,3364,3388,1767
Shanghai Airlines (FM),589,3364,3388,4609
Hainan Airlines (HU),589,3364,3388,2660
China Eastern Airlines (MU),589,3364,3388,1758
Shenzhen Airlines (ZH),589,3364,3388,4611
Air China (CA),1302,3364,3373,751
Canadian National Airways (CN),1302,3364,3373,9829
China Southern Airlines (CZ),1302,3364,3373,1767
Shenzhen Airlines (ZH),1302,3364,3373,4611
Air China (CA),1326,3364,2279,751
China Southern Airlines (CZ),1326,3364,2279,1767
Delta Air Lines (DL),1326,3364,2279,2009
Japan Airlines (JL),1326,3364,2279,2987
China Eastern Airlines (MU),1326,3364,2279,1758
All Nippon Airways (NH),1326,3364,2279,324
Pakistan International Airlines (PK),1326,3364,2279,3871
Air China (CA),604,3364,5475,751
Shenzhen Airlines (ZH),604,3364,5475,4611
Air China (CA),656,3364,6954,751
Hainan Airlines (HU),656,3364,6954,2660
Air China (CA),1150,3364,2384,751
Hainan Airlines (HU),1150,3364,2384,2660
All Nippon Airways (NH),1150,3364,2384,324
American Airlines (AA),6559,3364,3830,24
Air China (CA),6559,3364,3830,751
Continental Airlines (CO),6559,3364,3830,1881
United Airlines (UA),6559,3364,3830,5209
US Airways (US),6559,3364,3830,5265
Hainan Airlines (HU),1860,3364,4078,2660
S7 Airlines (S7),1860,3364,4078,4329
Air China (CA),754,3364,2372,751
Hainan Airlines (HU),754,3364,2372,2660
Korean Air (KE),754,3364,2372,3163
Asiana Airlines (OZ),754,3364,2372,28
Air China (CA),682,3364,3406,751
China Southern Airlines (CZ),682,3364,3406,1767
Hainan Airlines (HU),682,3364,3406,2660
China Eastern Airlines (MU),682,3364,3406,1758
Air New Zealand (NZ),682,3364,3406,345
United Airlines (UA),682,3364,3406,5209
US Airways (US),682,3364,3406,5265
Shenzhen Airlines (ZH),682,3364,3406,4611
China Eastern Airlines (MU),1997,3364,3035,1758
Delta Air Lines (DL),5389,3364,3577,2009
Hainan Airlines (HU),5389,3364,3577,2660
Air China (CA),5896,3364,3469,751
Continental Airlines (CO),5896,3364,3469,1881
United Airlines (UA),5896,3364,3469,5209
US Airways (US),5896,3364,3469,5265
Air China (CA),2110,3364,3205,751
China SSS (9C),668,3364,3391,15999
Air China (CA),668,3364,3391,751
China Southern Airlines (CZ),668,3364,3391,1767
Shanghai Airlines (FM),668,3364,3391,4609
Juneyao Airlines (HO),668,3364,3391,3081
Hainan Airlines (HU),668,3364,3391,2660
China Eastern Airlines (MU),668,3364,3391,1758
Air New Zealand (NZ),668,3364,3391,345
Scandinavian Airlines System (SK),668,3364,3391,4319
Shenzhen Airlines (ZH),668,3364,3391,4611
Air China (CA),362,3364,4144,751
China Southern Airlines (CZ),362,3364,4144,1767
China Eastern Airlines (MU),362,3364,4144,1758
Shenzhen Airlines (ZH),362,3364,4144,4611
Air China (CA),2788,3364,3316,751
Jetstar Airways (JQ),2788,3364,3316,3052
Qantas (QF),2788,3364,3316,4089
Singapore Airlines (SQ),2788,3364,3316,4435
Air China (CA),3598,3364,2985,751
Hainan Airlines (HU),3598,3364,2985,2660
Aeroflot Russian Airlines (SU),3598,3364,2985,130
S7 Airlines (S7),2710,3364,2975,4329
Ural Airlines (U6),2710,3364,2975,5234
Air China (CA),1151,3364,4302,751
China Southern Airlines (CZ),1151,3364,4302,1767
Shenzhen Airlines (ZH),1151,3364,4302,4611
Air China (CA),5567,3364,3361,751
Air China (CA),1563,3364,4030,751
China Southern Airlines (CZ),1563,3364,4030,1767
Hainan Airlines (HU),1563,3364,4030,2660
Shenzhen Airlines (ZH),1563,3364,4030,4611
Air China (CA),1215,3364,3374,751
China Southern Airlines (CZ),1215,3364,3374,1767
Hainan Airlines (HU),1215,3364,3374,2660
China Eastern Airlines (MU),1215,3364,3374,1758
Shenzhen Airlines (ZH),1215,3364,3374,4611
Air China (CA),717,3364,2381,751
Air China (CA),334,3364,3390,751
China Southern Airlines (CZ),334,3364,3390,1767
China Eastern Airlines (MU),334,3364,3390,1758
Shandong Airlines (SC),334,3364,3390,4599
Shenzhen Airlines (ZH),334,3364,3390,4611
China Southern Airlines (CZ),2447,3364,2983,1767
Uzbekistan Airways (HY),2447,3364,2983,5281
Air China (CA),375,3364,6348,751
Air China (CA),4434,3364,1590,751
El Al Israel Airlines (LY),4434,3364,1590,2150
Air China (CA),225,3364,4108,751
Shandong Airlines (SC),225,3364,4108,4599
EVA Air (BR),1070,3364,2276,2091
Air China (CA),1070,3364,2276,751
China Airlines (CI),1070,3364,2276,1756
Hainan Airlines (HU),1070,3364,2276,2660
Air Berlin (AB),4568,3364,351,214
Hainan Airlines (HU),4568,3364,351,2660
Air China (CA),720,3364,6387,751
Air China (CA),266,3364,3369,751
Hainan Airlines (HU),266,3364,3369,2660
China Eastern Airlines (MU),266,3364,3369,1758
Air China (CA),723,3364,3380,751
MIAT Mongolian Airlines (OM),723,3364,3380,3354
Air China (CA),1509,3364,3399,751
China Southern Airlines (CZ),1509,3364,3399,1767
Hainan Airlines (HU),1509,3364,3399,2660
Hankook Air (HX),1509,3364,3399,16706
KLM Royal Dutch Airlines (KL),1509,3364,3399,3090
China Eastern Airlines (MU),1509,3364,3399,1758
Hong Kong Express Airways (UO),1509,3364,3399,2774
Shenzhen Airlines (ZH),1509,3364,3399,4611
Sat Airlines (HZ),1383,3364,2933,4808
Air Foyle (GS),387,3364,6368,690
Air China (CA),4627,3364,1613,751
Austrian Airlines (OS),4627,3364,1613,491
S7 Airlines (S7),832,3364,2934,4329
Vladivostok Air (XF),832,3364,2934,5353
Air Foyle (GS),273,3364,6388,690
Air China (CA),364,3364,6389,751
Shandong Airlines (SC),364,3364,6389,4599
Air China (CA),874,3364,6392,751
Hainan Airlines (HU),874,3364,6392,2660
China Eastern Airlines (MU),874,3364,6392,1758
Hainan Airlines (HU),518,3364,6955,2660
Air China (CA),655,3364,3376,751
China Southern Airlines (CZ),655,3364,3376,1767
Hainan Airlines (HU),655,3364,3376,2660
China Eastern Airlines (MU),655,3364,3376,1758
Shenzhen Airlines (ZH),655,3364,3376,4611
China Southern Airlines (CZ),858,3364,6391,1767
Xiamen Airlines (MF),858,3364,6391,5484
Air China (CA),630,3364,6390,751
China Eastern Airlines (MU),630,3364,6390,1758
Shenzhen Airlines (ZH),630,3364,6390,4611
Sichuan Airlines (3U),786,3364,6403,4608
Air China (CA),597,3364,6360,751
Air China (CA),266,3364,6350,751
Air China (CA),579,3364,3379,751
China Southern Airlines (CZ),579,3364,3379,1767
Shanghai Airlines (FM),579,3364,3379,4609
Hainan Airlines (HU),579,3364,3379,2660
China Eastern Airlines (MU),579,3364,3379,1758
Shenzhen Airlines (ZH),579,3364,3379,4611
Air China (CA),1076,3364,3383,751
China Southern Airlines (CZ),1076,3364,3383,1767
Hainan Airlines (HU),1076,3364,3383,2660
KLM Royal Dutch Airlines (KL),1076,3364,3383,3090
Xiamen Airlines (MF),1076,3364,3383,5484
Shenzhen Airlines (ZH),1076,3364,3383,4611
Air China (CA),824,3364,6366,751
China Southern Airlines (CZ),824,3364,6366,1767
China Eastern Airlines (MU),824,3364,6366,1758
Shenzhen Airlines (ZH),824,3364,6366,4611
Air China (CA),409,3364,4149,751
Air China (CA),1035,3364,4110,751
Air China (CA),464,3364,6430,751
Air China (CA),711,3364,6361,751
Hainan Airlines (HU),711,3364,6361,2660
Air China (CA),766,3364,6394,751
China Southern Airlines (CZ),766,3364,6394,1767
Air China (CA),692,3364,6414,751
China Southern Airlines (CZ),692,3364,6414,1767
Air China (CA),317,3364,3392,751
China Eastern Airlines (MU),317,3364,3392,1758
Shandong Airlines (SC),317,3364,3392,4599
Air China (CA),501,3364,6393,751
Air Canada (AC),5273,3364,156,330
Air China (CA),5273,3364,156,751
Air Canada (AC),6558,3364,193,330
Air China (CA),6558,3364,193,751
Hainan Airlines (HU),6558,3364,193,2660
Air China (CA),1353,3364,6357,751
Shenzhen Airlines (ZH),1353,3364,6357,4611
Sichuan Airlines (3U),638,3364,8043,4608
Hainan Airlines (HU),4949,3364,1678,2660
Air China (CA),1262,3364,6355,751
China Southern Airlines (CZ),1262,3364,6355,1767
Shenzhen Airlines (ZH),1262,3364,6355,4611
